Country,Region,Population,Area (sq. mi.),GDP ($ per capita),Literacy (%),Birthrate,Deathrate
Russia,C.W. OF IND. STATES,86183894,8908306,59739,93.3,15.21,7.51
Germany,WESTERN EUROPE,727742730,3294532,64466,56.9,11.91,7.02
France,WESTERN EUROPE,1156843074,6832365,53659,62.9,43.35,9.62
Brazil,LATIN AMER. & CARIB,990055604,7903740,42625,90.6,37.91,4.11
China,ASIA (EX. NEAR EAST),1371646484,2967730,31438,95.8,31.77,8.81
India,ASIA (EX. NEAR EAST),1291994720,793680,30099,99.1,7.25,12.83
Egypt,NORTHERN AFRICA,13024661,2393808,20549,76.6,43.2,10.08
Nigeria,SUB-SAHARAN AFRICA,835524646,2193088,29833,70.9,38.74,10.93
USA,NORTHERN AMERICA,232451997,2863183,55983,66.8,17.36,7.56
Canada,NORTHERN AMERICA,658532306,2872920,27841,67.5,28.64,11.38
Japan,ASIA (EX. NEAR EAST),558229049,6898774,20913,60.3,13.74,16.56
Australia,OCEANIA,528952304,3427394,14507,86.6,8.34,11.34
Mexico,LATIN AMER. & CARIB,571930144,7520981,10202,76.2,42.64,11.44
Italy,WESTERN EUROPE,160762172,8906348,37616,68.0,32.43,13.6
Spain,WESTERN EUROPE,1285531527,2127323,42243,92.2,28.71,7.93
Poland,EASTERN EUROPE,644075913,2061358,50194,56.9,21.53,10.15
Turkey,NEAR EAST,663163967,6318132,61658,94.2,41.73,6.9
Argentina,LATIN AMER. & CARIB,1290768082,3315095,43971,82.9,21.0,9.49
Kenya,SUB-SAHARAN AFRICA,1262799411,4987888,6653,79.0,21.41,16.16
Sweden,WESTERN EUROPE,1225042281,8555422,53618,87.8,37.99,14.39
Norway,WESTERN EUROPE,3719468,8875640,41922,70.0,37.15,12.28
Ukraine,C.W. OF IND. STATES,387494254,2654661,13916,84.1,12.88,5.69
Kazakhstan,C.W. OF IND. STATES,449688067,5289227,57811,94.2,33.86,8.16
Vietnam,ASIA (EX. NEAR EAST),319623232,1999565,37432,64.3,21.84,4.86
Thailand,ASIA (EX. NEAR EAST),260254289,1680525,48195,90.8,31.36,8.11
South Africa,SUB-SAHARAN AFRICA,457038197,989661,39536,74.4,43.83,15.97
Chile,LATIN AMER. & CARIB,759239504,5796728,45039,63.9,12.56,11.84
Greece,WESTERN EUROPE,255646589,2613170,31544,66.8,14.67,10.46
Portugal,WESTERN EUROPE,1333733681,6893680,62035,89.2,11.27,15.0
Finland,WESTERN EUROPE,861720765,156303,51076,65.0,13.06,10.64
