rank;lemma;pos;ipm
1;с;pr;11201.2
2;дом;s;9014.6
3;а;cj;6469.0
4;глаз;s;4357.7
5;ты;spro;2715.0
6;работа;s;1976.2
7;земля;s;1494.1
8;свой;apro;1098.4
9;день;s;737.8
10;дело;s;423.8
11;что;cj;328.8
12;голос;s;261.6
13;город;s;202.3
14;голова;s;138.0
15;сила;s;89.3
16;я;spro;49.9
17;вода;s;31.9
18;время;s;20.2
19;они;spro;15.5
20;как;advpro;12.1
21;из;pr;9.7
22;сказать;v;7.1
23;он;spro;4.9
24;сердце;s;3.8
25;говорить;v;2.4
26;это;spro;1.9
27;весь;apro;1.6
28;год;s;1.1
29;к;pr;0.7
30;человек;s;0.5
31;и;cj;0.3
32;по;pr;0.2
33;мы;spro;0.2
34;жизнь;s;0.1
35;быть;v;0.1
36;друг;s;0.0
37;на;pr;0.0
38;слово;s;0.0
39;случай;s;0.0
40;рука;s;0.0
41;не;pt;0.0
42;в;pr;0.0
43;она;spro;0.0
44;знать;v;0.0
45;который;apro;0.0
46;мир;s;0.0
47;то;cj;0.0
48;у;pr;0.0
49;но;cj;0.0
50;за;pr;0.0
